FullName,Abbreviation
Anaheim Ducks,ANA
Arizona Coyotes,ARI
Atlanta Flames,AFM
Atlanta Thrashers,ATL
Boston Bruins,BOS
Buffalo Sabres,BUF
Calgary Flames,CGY
Carolina Hurricanes,CAR
Chicago Black Hawks,CHI
Chicago Blackhawks,CHI
Colorado Avalanche,COL
Colorado Rockies,COL
Columbus Blue Jackets,CBJ
Dallas Stars,DAL
Detroit Cougars,DET
Detroit Falcons,DET
Detroit Red Wings,DET
Edmonton Oilers,EDM
Florida Panthers,FLA
Hartford Whalers,HFD
Kansas City Scouts,KCS
Los Angeles Kings,LAK
Mighty Ducks of Anaheim,ANA
Minnesota North Stars,MNS
Minnesota Wild,MIN
Montreal Canadiens,MTL
Nashville Predators,NSH
New Jersey Devils,NJD
New York Islanders,NYI
New York Rangers,NYR
Ottawa Senators,OTT
Philadelphia Flyers,PHI
Phoenix Coyotes,PHX
Pittsburgh Penguins,PIT
Quebec Nordiques,QUE
San Jose Sharks,SJS
Seattle Kraken,SEA
St. Louis Blues,STL
Tampa Bay Lightning,TBL
Toronto Arenas,TOR
Toronto Maple Leafs,TOR
Toronto St. Patricks,TOR
Vancouver Canucks,VAN
Vegas Golden Knights,VGK
Washington Capitals,WSH
Winnipeg Jets,WPG
